Player,Team,Bye,FGM,FGA,FG%,EPM,EPA,FPts
Matt Bryant,ATL,5,30,34,88.2%,47,48,137.0
Stephen Gostkowski,NE,9,29,33,87.9%,50,51,137.0
Justin Tucker,BAL,10,32,34,94.1%,37,37,133.0
Blair Walsh,SEA,6,31,35,88.6%,38,40,131.0
Wil Lutz,NO,5,28,33,84.8%,46,48,130.0
Caleb Sturgis,PHI,10,30,35,85.7%,39,40,129.0
Dan Bailey,DAL,6,28,31,90.3%,42,42,126.0
Cairo Santos,KC,10,29,34,85.3%,38,40,125.0
Steve Hauschka,BUF,6,29,34,85.3%,37,41,124.0
Mason Crosby,GB,8,25,29,86.2%,49,51,124.0
Graham Gano,CAR,11,28,34,82.4%,38,43,122.0
Dustin Hopkins,WAS,5,29,34,85.3%,34,36,121.0
Sebastian Janikowski,OAK,10,26,31,83.9%,43,46,121.0
Adam Vinatieri,IND,11,26,30,86.7%,42,43,120.0
Ka'imi Fairbairn,HOU,7,29,35,82.9%,33,35,120.0
Phil Dawson,ARI,8,23,26,88.5%,50,51,119.0
Brandon McManus,DEN,5,28,33,84.8%,34,35,118.0
Younghoe Koo,LAC,9,26,32,81.3%,40,44,118.0
Matt Prater,DET,7,27,31,87.1%,35,38,116.0
Ryan Succop,TEN,8,24,27,88.9%,40,41,112.0
Kai Forbath,MIN,9,26,28,92.9%,33,34,111.0
Randy Bullock,CIN,6,24,29,82.8%,37,39,109.0
Aldrick Rosas,NYG,8,23,29,79.3%,39,43,108.0
Chris Boswell,PIT,9,22,27,81.5%,40,41,106.0
Jason Myers,JAC,8,24,30,80.0%,33,36,105.0
Nick Folk,TB,1,22,26,84.6%,38,40,104.0
Cody Parkey,MIA,1,22,27,81.5%,35,37,101.0
Connor Barth,CHI,9,22,27,81.5%,31,33,97.0
Robbie Gould,SF,11,22,27,81.5%,30,32,96.0
Zane Gonzalez,CLE,9,22,28,78.6%,28,30,94.0
Greg Zuerlein,LAR,8,21,25,84.0%,30,32,93.0
Chandler Catanzaro,NYJ,11,20,25,80.0%,28,32,88.0
