Player,FG,FGA,XPT,FPTS,POS
Harrison Butker KC,2.1,2.3,3.7,9.9,K
Greg Zuerlein LAR,2.3,2.6,2.8,9.8,K
Wil Lutz NO,2.1,2.3,3.2,9.5,K
Mason Crosby GB,2.0,2.4,3.1,9.2,K
Stephen Gostkowski NE,2.1,2.4,2.6,8.9,K
Adam Vinatieri IND,2.0,2.2,2.7,8.6,K
Giorgio Tavecchio ATL,1.9,2.2,2.8,8.5,K
Jake Elliott PHI,2.1,2.4,2.3,8.5,K
Michael Badgley LAC,1.7,1.9,3.4,8.5,K
Jason Myers NYJ,2.0,2.3,2.3,8.3,K
Chandler Catanzaro CAR,1.8,2.1,2.8,8.1,K
Robbie Gould SF,1.8,2.0,2.5,7.9,K
Cody Parkey CHI,1.6,1.9,2.9,7.7,K
Greg Joseph CLE,1.7,2.0,2.3,7.4,K
Aldrick Rosas NYG,1.8,2.0,2.1,7.4,K
Josh Lambo JAC,1.7,1.9,2.2,7.4,K
Dustin Hopkins WAS,1.7,2.0,2.1,7.4,K
Sebastian Janikowski SEA,1.7,2.0,2.2,7.2,K
Brett Maher DAL,1.8,2.0,1.9,7.2,K
Randy Bullock CIN,1.5,1.8,2.5,7.1,K
Matt Prater DET,1.7,2.0,1.9,6.9,K
Ryan Succop TEN,1.6,1.9,1.9,6.8,K
Steven Hauschka BUF,1.5,1.7,1.5,6.1,K
Jason Sanders MIA,1.4,1.6,1.8,6.0,K
Daniel Carlson OAK,1.4,1.7,1.9,6.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Cairo Santos TB,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
