Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.4,0.08,0.47,0.62,0.57,0.26,K
Dan Bailey,MIN,1.0,2.14,0.04,0.48,0.58,0.47,0.17,K
Chris Boswell,PIT,1.0,2.47,0.01,0.48,0.57,0.41,0.15,K
Matt Bryant,ATL,1.0,2.12,0.05,0.48,0.48,0.5,0.26,K
Randy Bullock,CIN,1.0,2.54,0.03,0.48,0.47,0.43,0.21,K
Harrison Butker,KC,1.0,2.85,0.0,0.48,0.54,0.41,0.17,K
Daniel Carlson,OAK,1.0,2.05,0.0,0.48,0.53,0.43,0.19,K
Mason Crosby,GB,1.0,1.0,0.03,0.47,0.51,0.43,0.22,K
Jake Elliott,PHI,1.0,2.16,0.0,0.48,0.47,0.44,0.22,K
Ka'imi Fairbairn,HOU,1.0,2.73,0.01,0.48,0.52,0.49,0.21,K
Kai Forbath,JAX,1.0,1.67,0.01,0.48,0.51,0.49,0.21,K
Zane Gonzalez,ARI,1.0,1.53,0.05,0.48,0.54,0.55,0.15,K
Stephen Gostkowski,NE,1.0,2.07,0.05,0.48,0.5,0.4,0.18,K
Robbie Gould,SF,1.0,2.18,0.0,0.48,0.52,0.43,0.21,K
Stephen Hauschka,BUF,1.0,1.38,0.0,0.48,0.47,0.42,0.26,K
Dustin Hopkins,WAS,1.0,0.84,0.03,0.48,0.45,0.39,0.26,K
Sebastian Janikowski,SEA,1.0,2.19,0.0,0.47,0.53,0.38,0.17,K
Greg Joseph,CLE,1.0,2.32,0.01,0.48,0.52,0.4,0.3,K
Wil Lutz,NO,1.0,3.05,0.01,0.48,0.47,0.46,0.27,K
Brett Maher,DAL,1.0,2.14,0.01,0.48,0.47,0.39,0.24,K
Brandon McManus,DEN,1.0,2.93,0.08,0.48,0.55,0.5,0.33,K
Jason Myers,NYJ,1.0,1.36,0.03,0.48,0.51,0.51,0.29,K
Cody Parkey,CHI,1.0,2.15,0.03,0.48,0.51,0.46,0.15,K
Matt Prater,DET,1.0,1.4,0.08,0.47,0.57,0.78,0.29,K
Aldrick Rosas,NYG,1.0,1.74,0.0,0.48,0.56,0.45,0.2,K
Jason Sanders,MIA,1.0,2.43,0.07,0.47,0.49,0.49,0.25,K
Cairo Santos,TB,1.0,1.64,0.04,0.48,0.57,0.32,0.14,K
Ryan Succop,TEN,1.0,1.54,0.02,0.48,0.51,0.37,0.15,K
Justin Tucker,BAL,1.0,2.35,0.05,0.48,0.56,0.39,0.22,K
Adam Vinatieri,IND,1.0,2.59,0.06,0.48,0.49,0.38,0.22,K
Greg Zuerlein,LA,1.0,2.73,0.07,0.48,0.55,0.47,0.23,K
