Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Patrick Mahomes,QB,KC,310,3,1,15,0
Jameis Winston,QB,TB,310,2,1,20,0
Josh Allen,QB,BUF,200,1,1,50,1
Aaron Rodgers,QB,GB,270,2,1,20,0
Deshaun Watson,QB,HOU,230,2,1,40,0
Andrew Luck,QB,IND,275,2,0,10,0
Ben Roethlisberger,QB,PIT,285,2,1,5,0
Matt Ryan,QB,ATL,285,2,0,5,0
Nick Foles,QB,PHI,280,2,1,5,0
Jared Goff,QB,LAR,275,2,1,5,0
Philip Rivers,QB,LAC,285,2,1,0,0
Mitchell Trubisky,QB,CHI,220,2,1,30,0
Derek Carr,QB,OAK,265,2,1,5,0
Russell Wilson,QB,SEA,215,2,0,25,0
Tom Brady,QB,NE,240,2,0,5,0
Kirk Cousins,QB,MIN,240,2,0,5,0
Eli Manning,QB,NYG,245,2,1,0,0
Nick Mullens,QB,SF,240,2,1,0,0
Lamar Jackson,QB,BAL,165,1,0,60,0
Sam Darnold,QB,NYJ,225,1,1,10,0
Case Keenum,QB,DEN,225,1,2,10,0
Kyle Allen,QB,CAR,200,1,2,20,0
Blake Bortles,QB,JAX,190,1,1,25,0
Teddy Bridgewater,QB,NO,215,1,1,10,0
Josh Johnson,QB,WAS,165,1,1,35,0
Blaine Gabbert,QB,TEN,205,1,1,10,0
Baker Mayfield,QB,CLE,215,1,1,5,0
Matthew Stafford,QB,DET,215,1,0,5,0
Jeff Driskel,QB,CIN,170,1,1,20,0
Ryan Tannehill,QB,MIA,190,1,1,10,0
Josh Rosen,QB,ARI,170,1,1,10,0
Dak Prescott,QB,DAL,100,1,0,10,0
Cooper Rush,QB,DAL,130,0,1,10,0
Taysom Hill,QB,NO,25,0,0,15,0
