Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Josh Allen,BUF,1.0,19.0,10.0,9.0,82.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
C.J. Beathard,SF,1.0,54.0,34.0,20.0,349.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,61.0,33.0,28.0,430.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,4.0,34.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,44.0,34.0,10.0,341.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,29.0,26.0,3.0,363.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Teddy Bridgewater,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,33.0,24.0,9.0,268.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,37.0,30.0,7.0,301.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-12.0,QB
Andy Dalton,CIN,1.0,30.0,20.0,10.0,248.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,22.0,10.0,12.0,198.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joshua Dobbs,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,56.0,29.0,27.0,298.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,32.0,23.0,9.0,321.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,QB
Taysom Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,51.0,35.0,16.0,377.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,QB
Andrew Luck,IND,1.0,59.0,38.0,21.0,365.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,38.0,22.0,16.0,313.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,36.0,22.0,14.0,326.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,26.0,14.0,12.0,129.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Baker Mayfield,CLE,1.0,43.0,25.0,18.0,342.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,35.0,21.0,14.0,237.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,29.0,18.0,11.0,208.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,27.0,22.0,5.0,339.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,52.0,32.0,20.0,442.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,29.0,19.0,10.0,250.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh Rosen,ARI,1.0,25.0,10.0,15.0,170.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Matt Ryan,ATL,1.0,38.0,26.0,12.0,285.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Matt Schaub,ATL,1.0,7.0,5.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,39.0,23.0,16.0,275.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,26.0,14.0,12.0,183.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,35.0,20.0,15.0,185.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,44.0,33.0,11.0,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-12.0,QB
Joe Webb,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,35.0,24.0,11.0,311.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,21.0,13.0,8.0,198.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
